"Formula","Time (ns)","RAM usage (bytes)","Tautology"
"B₂(¬M₁M₁p → M₂q)","13618957276","6696816","false"
"B₂B₃B₃((q → r) → M₂p)","13573661155","6698240","false"
"B₂B₂B₁¬¬(p → p)","93029927324","11429648","false"
"B₂(r ∨ M₂M₂((p ∧ r) ∧ p))","98547231966","11326040","false"
"B₂(¬(B₁r ⇿ q) ⇿ (r → p))","5113480","3519872","false"
"B₂(M₂((r ⇿ r) ⇿ r) ⇿ (p ∧ q))","7551048","3520736","false"
"B₂¬M₁((p → q) ∧ (p ∨ p))","6641784","3520344","false"
"B₃B₂B₂M₁M₁(p ∧ r)","12098823753530","81061480","false"
"B₃B₁B₂B₃((q ∧ q) → p)","12779738738","6698240","false"
"B₃¬M₂(B₁p ∨ M₁r)","13643040866","6698224","false"
"B₃(B₃((q ⇿ r) → q) ∧ ¬q)","6669854","3520160","false"
"B₃M₃B₂¬¬(p → p)","101912772589","11326008","false"
"B₃(B₃((p ⇿ p) ⇿ B₃r) ∧ r)","86718834267","11339768","false"
"B₃((M₂M₃q ∨ (p → p)) ∨ p)","17768101","3610832","true"
"B₃M₁B₂M₂(B₂q ⇿ p)","11666683273152","81056032","false"
"B₃B₁¬(p ⇿ B₂B₃q)","15017747625","6698224","false"
"B₃(M₁((p ∧ p) → M₃p) ∨ p)","90825660703","11326040","false"
"B₃((M₃p → r) ∨ M₃(r ∨ r))","85749524240","11326040","false"
"B₃M₂((B₂B₃q ∨ q) ⇿ q)","12547794812","6696832","false"
"B₃M₁(M₂r → M₃¬p)","12496537010","6696816","false"
"B₃(M₃(q ∧ q) ∧ B₃(p ⇿ r))","84971724761","11326040","false"
"B₃(B₃((M₃p ⇿ p) ∨ q) → p)","86982033617","11326040","false"
"B₃M₁B₁(B₂M₃r ⇿ p)","11056754273","6367568","false"
"B₃(M₁p ∧ B₁(r ⇿ M₁p))","14783872770","6696832","false"
"B₃M₂B₃(B₂(q ∨ q) → q)","14054665638","6696832","false"
"B₃M₁B₂M₁M₁(p ∧ r)","11919879112094","81280536","false"
"B₃B₂M₂((M₃r → q) → q)","16655723772","6698240","false"
"B₃M₂B₃B₃B₁(p ∧ p)","11653218940","6367568","false"
"B₃((q → r) ⇿ ¬¬(p ⇿ r))","8249755","3517952","false"
"B₃(((M₃q → r) ∨ r) ∨ (r → p))","7250232","3519200","true"
"B₃((B₃(q ∨ q) ∧ B₁r) ⇿ q)","128570117818","11326040","false"
"B₃M₃(((q ∧ r) ∧ (q → r)) ∨ p)","10007195569","3716800","false"
"B₃B₂M₂((p ⇿ r) ∨ (p ∧ q))","110077922840","11384344","false"
